5772,1,2024-01-02T00:24:07,2024-01-02T00:26:07
8995,4,2024-01-02T00:30:01,2024-01-02T00:32:01
4840,3,2024-01-02T00:44:49,2024-01-02T00:46:49
2084,1,2024-01-02T01:04:10,2024-01-02T01:06:10
2084,1,2024-01-01T23:59:09,2024-01-02T00:01:09
3742,2,2024-01-02T01:59:44,2024-01-02T02:01:44
3742,2,2024-01-02T01:31:29,2024-01-02T01:33:29
3742,2,2024-01-02T02:19:52,2024-01-02T02:21:52
794,5,2024-01-02T02:28:35,2024-01-02T02:29:35
153,2,2024-01-02T02:53:39,2024-01-02T02:55:09
153,2,2024-01-02T03:16:17,2024-01-02T03:17:47
3040,5,2024-01-02T03:21:02,2024-01-02T03:23:02
3040,5,2024-01-02T03:11:28,2024-01-02T03:13:28
3040,5,2024-01-02T03:55:42,2024-01-02T03:57:42
3040,5,2024-01-02T03:27:07,2024-01-02T03:29:07
9032,4,2024-01-02T04:13:27,2024-01-02T04:14:57
6439,5,2024-01-02T05:26:24,2024-01-02T05:26:54
6439,5,2024-01-02T04:49:15,2024-01-02T04:49:45
6439,5,2024-01-02T05:30:42,2024-01-02T05:31:12
